LGBM Params || Macro F1 | Recall C0 | Recall C1 | Recall C2
------------------------------------------------------------------------------------------
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.461 | Rec0: 0.455 | Rec1: 0.312 | Rec2: 0.865
max_depth=3 | num_leaves=7 | learning_rate=0.05 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.469 | Rec0: 0.485 | Rec1: 0.299 | Rec2: 0.844
max_depth=3 | num_leaves=7 | learning_rate=0.05 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.469 | Rec0: 0.485 | Rec1: 0.299 | Rec2: 0.844
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.472 | Rec0: 0.494 | Rec1: 0.300 | Rec2: 0.842
max_depth=3 | num_leaves=15 | learning_rate=0.05 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.472 | Rec0: 0.494 | Rec1: 0.300 | Rec2: 0.842
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.455 | Rec0: 0.433 | Rec1: 0.321 | Rec2: 0.874
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.455 | Rec0: 0.433 | Rec1: 0.321 | Rec2: 0.874
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.469 | Rec0: 0.499 | Rec1: 0.279 | Rec2: 0.855
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.469 | Rec0: 0.499 | Rec1: 0.279 | Rec2: 0.855
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.463 | Rec0: 0.471 | Rec1: 0.295 | Rec2: 0.864
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.463 | Rec0: 0.471 | Rec1: 0.295 | Rec2: 0.864
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.475 | Rec0: 0.541 | Rec1: 0.253 | Rec2: 0.833
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.475 | Rec0: 0.541 | Rec1: 0.253 | Rec2: 0.833
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.470 | Rec0: 0.506 | Rec1: 0.276 | Rec2: 0.841
max_depth=5 | num_leaves=7 | learning_rate=0.05 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.470 | Rec0: 0.506 | Rec1: 0.276 | Rec2: 0.841
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.481 | Rec0: 0.592 | Rec1: 0.227 | Rec2: 0.787
max_depth=5 | num_leaves=15 | learning_rate=0.05 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.481 | Rec0: 0.592 | Rec1: 0.227 | Rec2: 0.787
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.467 | Rec0: 0.468 | Rec1: 0.314 | Rec2: 0.855
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.467 | Rec0: 0.468 | Rec1: 0.314 | Rec2: 0.855
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.468 | Rec0: 0.481 | Rec1: 0.304 | Rec2: 0.849
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.468 | Rec0: 0.481 | Rec1: 0.304 | Rec2: 0.849
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.473 | Rec0: 0.498 | Rec1: 0.304 | Rec2: 0.828
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.473 | Rec0: 0.499 | Rec1: 0.301 | Rec2: 0.831
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.473 | Rec0: 0.509 | Rec1: 0.288 | Rec2: 0.828
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.473 | Rec0: 0.509 | Rec1: 0.288 | Rec2: 0.828
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.481 | Rec0: 0.540 | Rec1: 0.286 | Rec2: 0.795
max_depth=3 | num_leaves=7 | learning_rate=0.1 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.481 | Rec0: 0.538 | Rec1: 0.286 | Rec2: 0.797
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.479 | Rec0: 0.551 | Rec1: 0.269 | Rec2: 0.786
max_depth=3 | num_leaves=15 | learning_rate=0.1 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.479 | Rec0: 0.551 | Rec1: 0.269 | Rec2: 0.786
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.468 | Rec0: 0.485 | Rec1: 0.295 | Rec2: 0.852
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.468 | Rec0: 0.485 | Rec1: 0.295 | Rec2: 0.852
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=200 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.480 | Rec0: 0.563 | Rec1: 0.253 | Rec2: 0.806
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=200 | subsample=1 | colsample_bytree=0.8 || F1: 0.480 | Rec0: 0.563 | Rec1: 0.253 | Rec2: 0.806
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.473 | Rec0: 0.514 | Rec1: 0.282 | Rec2: 0.823
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.473 | Rec0: 0.514 | Rec1: 0.282 | Rec2: 0.823
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=300 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.481 | Rec0: 0.604 | Rec1: 0.220 | Rec2: 0.766
max_depth=5 | num_leaves=15 | learning_rate=0.1 | n_estimators=300 | subsample=1 | colsample_bytree=0.8 || F1: 0.481 | Rec0: 0.604 | Rec1: 0.220 | Rec2: 0.766
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=500 | subsample=0.8 | colsample_bytree=0.8 || F1: 0.479 | Rec0: 0.566 | Rec1: 0.248 | Rec2: 0.792
max_depth=5 | num_leaves=7 | learning_rate=0.1 | n_estimators=500 | subsample=1 | colsample_bytree=0.8 || F1: 0.479 | Rec0: 0.566 | Rec1: 0.248 | Rec2: 0.792
