Imputer | Scaler | Balancing | Params || Macro F1 | Recall C1 | Recall C2
--------------------------------------------------------------------------------
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.1, n_estimators=300, subsample=0.8, colsample_bytree=1.0 || F1: 0.471 | Rec0: 0.496 | Rec1: 0.295 | Rec2: 0.834
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.1, n_estimators=300, subsample=1.0, colsample_bytree=0.8 || F1: 0.469 | Rec0: 0.486 | Rec1: 0.297 | Rec2: 0.849
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.1, n_estimators=300, subsample=1.0, colsample_bytree=1.0 || F1: 0.472 | Rec0: 0.485 | Rec1: 0.306 | Rec2: 0.852
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.1, n_estimators=500, subsample=0.8, colsample_bytree=0.8 || F1: 0.479 | Rec0: 0.540 | Rec1: 0.272 | Rec2: 0.804
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.1, n_estimators=500, subsample=0.8, colsample_bytree=1.0 || F1: 0.480 | Rec0: 0.539 | Rec1: 0.277 | Rec2: 0.803
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.1, n_estimators=500, subsample=1.0, colsample_bytree=0.8 || F1: 0.477 | Rec0: 0.523 | Rec1: 0.281 | Rec2: 0.819
KNN | StdScaler | ClassWeight | max_depth=3, learning_rate=0.1, n_estimators=500, subsample=1.0, colsample_bytree=1.0 || F1: 0.478 | Rec0: 0.523 | Rec1: 0.286 | Rec2: 0.819
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=200, subsample=0.8, colsample_bytree=0.8 || F1: 0.439 | Rec0: 0.389 | Rec1: 0.343 | Rec2: 0.883
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=200, subsample=0.8, colsample_bytree=1.0 || F1: 0.437 | Rec0: 0.380 | Rec1: 0.354 | Rec2: 0.885
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=200, subsample=1.0, colsample_bytree=0.8 || F1: 0.438 | Rec0: 0.376 | Rec1: 0.364 | Rec2: 0.881
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=200, subsample=1.0, colsample_bytree=1.0 || F1: 0.432 | Rec0: 0.352 | Rec1: 0.384 | Rec2: 0.881
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=300, subsample=0.8, colsample_bytree=0.8 || F1: 0.444 | Rec0: 0.408 | Rec1: 0.329 | Rec2: 0.884
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=300, subsample=0.8, colsample_bytree=1.0 || F1: 0.442 | Rec0: 0.399 | Rec1: 0.335 | Rec2: 0.882
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=300, subsample=1.0, colsample_bytree=0.8 || F1: 0.444 | Rec0: 0.389 | Rec1: 0.358 | Rec2: 0.883
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=300, subsample=1.0, colsample_bytree=1.0 || F1: 0.439 | Rec0: 0.372 | Rec1: 0.369 | Rec2: 0.886
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=500, subsample=0.8, colsample_bytree=0.8 || F1: 0.450 | Rec0: 0.433 | Rec1: 0.306 | Rec2: 0.881
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=500, subsample=0.8, colsample_bytree=1.0 || F1: 0.449 | Rec0: 0.428 | Rec1: 0.311 | Rec2: 0.883
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=500, subsample=1.0, colsample_bytree=0.8 || F1: 0.450 | Rec0: 0.414 | Rec1: 0.334 | Rec2: 0.885
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.01, n_estimators=500, subsample=1.0, colsample_bytree=1.0 || F1: 0.448 | Rec0: 0.407 | Rec1: 0.343 | Rec2: 0.881
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=200, subsample=0.8, colsample_bytree=0.8 || F1: 0.463 | Rec0: 0.483 | Rec1: 0.280 | Rec2: 0.865
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=200, subsample=0.8, colsample_bytree=1.0 || F1: 0.462 | Rec0: 0.477 | Rec1: 0.287 | Rec2: 0.863
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=200, subsample=1.0, colsample_bytree=0.8 || F1: 0.461 | Rec0: 0.458 | Rec1: 0.308 | Rec2: 0.868
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=200, subsample=1.0, colsample_bytree=1.0 || F1: 0.458 | Rec0: 0.454 | Rec1: 0.303 | Rec2: 0.867
KNN | StdScaler | ClassWeight | max_depth=4, learning_rate=0.05, n_estimators=300, subsample=0.8, colsample_bytree=0.8 || F1: 0.469 | Rec0: 0.518 | Rec1: 0.261 | Rec2: 0.843
